epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.745,3.18591,3.51261,4.18354,0.00363,0.95,0.02485,0.01244,2.5888,3.18979,4.11932,0.00062,0.00062,0.00062
2,291.417,3.16533,3.43418,4.03505,0.00333,0.875,0.06725,0.01803,3.33442,3.55452,3.98519,0.00119763,0.00119763,0.00119763
3,496.922,3.12148,3.33825,3.78619,0.02326,0.225,0.01934,0.00452,3.41184,24.4507,8.58022,0.0017119,0.0017119,0.0017119
4,706.592,2.9612,3.24267,3.55928,0.10656,0.175,0.07749,0.02315,3.28876,3.87195,4.18549,0.001703,0.001703,0.001703
5,916.42,2.94553,3.19548,3.42725,0.0802,0.825,0.24607,0.07717,2.84957,3.09709,3.62827,0.001604,0.001604,0.001604
6,1126.91,2.79846,3.18254,3.31907,0.04351,0.85,0.14987,0.03317,3.0114,3.16041,3.57236,0.001505,0.001505,0.001505
7,1338.21,2.64114,3.13037,3.20034,0.04476,0.725,0.12328,0.03237,3.04663,3.59958,3.62912,0.001406,0.001406,0.001406
8,1548.71,2.61997,3.09652,3.16863,0.02582,0.625,0.07453,0.01546,3.31261,4.54124,4.0937,0.001307,0.001307,0.001307
9,1759.09,2.56497,3.07934,3.0957,0.02453,0.775,0.10883,0.034,2.7721,2.92326,3.44926,0.001208,0.001208,0.001208
10,1969.68,2.4957,3.00638,3.03815,0.09042,0.4,0.1317,0.02992,2.88835,2.88588,3.50095,0.001109,0.001109,0.001109
11,2181.09,2.40312,3.18481,3.0806,0.2788,0.6,0.45298,0.23374,2.25935,1.94019,3.33595,0.00101,0.00101,0.00101
12,2391.24,2.30397,2.9521,3.0724,0.24703,0.55,0.37398,0.14295,2.36128,2.04,3.16901,0.000911,0.000911,0.000911
13,2601.98,2.29118,2.84871,2.95867,0.31082,0.35,0.29745,0.10443,2.55445,2.39767,3.31041,0.000812,0.000812,0.000812
14,2812,2.2309,2.76963,2.89211,0.40041,0.375,0.37818,0.15098,2.31518,2.10781,3.00178,0.000713,0.000713,0.000713
15,3022.37,2.21597,2.68401,2.84117,0.33715,0.5,0.42038,0.18635,2.03641,1.86927,2.84456,0.000614,0.000614,0.000614
16,3233.46,2.19422,2.64394,2.81918,0.66694,0.55,0.63518,0.31423,1.9909,1.85938,2.81494,0.000515,0.000515,0.000515
17,3444.22,2.18284,2.60342,2.79182,0.60914,0.62342,0.60357,0.31251,1.94572,1.88925,2.72786,0.000416,0.000416,0.000416
18,3653.4,2.0984,2.48861,2.73389,0.80609,0.55,0.67385,0.37533,1.86897,1.76269,2.68458,0.000317,0.000317,0.000317
19,3863.21,2.09702,2.45119,2.70671,0.5224,0.55,0.58243,0.27352,2.0329,1.90704,2.71443,0.000218,0.000218,0.000218
20,4073.11,2.03687,2.43605,2.67023,0.79336,0.625,0.68248,0.35109,1.90328,1.7792,2.65624,0.000119,0.000119,0.000119
